id;psa_id;erase_date;active;create_date;updated_date;address;zip_code
1;mobile Fish;2020-01-04T01:07:44;true;2020-01-04T05:31:01;2020-01-04T16:05:49;Computer Practical Fresh Pants;17600-9789
2;Electronics;2020-01-03T20:01:43;false;2020-01-04T05:01:19;2020-01-04T12:32:22;Albania web-readiness;56310
3;Coordinator;2020-01-04T14:15:18;false;2020-01-04T17:40:00;2020-01-04T00:59:50;grey Cambridgeshire;40866-1400
4;Usability South Dakota envisioneer;2020-01-04T19:27:29;false;2020-01-04T14:18:00;2020-01-04T03:25:12;infomediaries;64801
5;incentivize Tuna copy;2020-01-04T09:38:16;true;2020-01-04T14:51:03;2020-01-04T06:43:13;Chair Facilitator;49389-5793
6;Georgia;2020-01-04T07:20:29;false;2020-01-03T20:46:24;2020-01-04T12:02:01;scale interactive generating;92652
7;scalable;2020-01-04T15:52:30;false;2020-01-04T19:27:58;2020-01-03T20:09:23;index orange;08177
8;1080p Checking Account Identity;2020-01-04T04:12:56;false;2020-01-03T21:52:57;2020-01-03T23:07:37;Investment Account archive Fantastic Plastic Chicken;67562
9;Mississippi embrace Developer;2020-01-03T23:28:03;true;2020-01-04T02:31:12;2020-01-04T06:22:15;compress;05741
10;partnerships;2020-01-04T15:00:00;false;2020-01-03T22:20:36;2020-01-04T04:34:03;knowledge base Buckinghamshire;12645-7229
