id;num_doc;phone;born_date
1;Communications capacitor archive;150.938.3725 x853;2019-10-23
2;Home Loan Account;(128) 100-9473;2019-10-23
3;Books;177-777-6093 x61988;2019-10-23
4;archive Fantastic Plastic Chicken;1-675-628-5431;2019-10-23
5;synthesizing hard drive Robust;(405) 741-0412;2019-10-24
6;withdrawal knowledge base Buckinghamshire;1-126-457-2290 x52618;2019-10-23
7;virtual deposit;(482) 148-8538 x18339;2019-10-23
8;Profit-focused;083-830-1554 x426;2019-10-23
9;24/7;1-132-557-4309 x29226;2019-10-23
10;capability zero tolerance Computers;954-002-3962 x6154;2019-10-23
